,지역본부,지역,명,주소,동,호,주택군,주택열람일정,"전용
면적","주거공용
면적",면적계,방수,층수,"승강기
유무",주택유형, 임대보증금, 월임대료, 임대보증금, 월임대료
20,서울지역본부,서울특별시,매입다가구(서울강서구),"서울특별시 강서구 화곡로13길 66-12(화곡동,한스아이빌2) 한스아이빌2",,204,강서화곡동(한스아이빌2),열람불가(계약 전 주택 개방),27.2300,6.1800,33.4100,2,2층,Y,도시형생활주택,"  115,401,000 ","  130,180 ","  131,887,000 ","  145,640 "
21,서울지역본부,서울특별시,매입다가구(서울강서구),"서울특별시 강서구 화곡로13길 66-12(화곡동,한스아이빌2) 한스아이빌2",,504,강서화곡동(한스아이빌2),열람불가(계약 전 주택 개방),27.23,6.18,33.41,2,5층,Y,도시형생활주택,"  117,869,000 ","  132,840 ","  134,708,000 ","  148,630 "
22,서울지역본부,서울특별시,매입다가구(서울광진구),"서울특별시 광진구 동일로78길 19(중곡동,엘림하우스) 엘림하우스",102,303,광진중곡동(엘림하우스),열람불가(계약 전 주택 개방),43.6900,6.9400,50.6300,2,3층,Y,도시형생활주택,"  205,191,000 ","  203,970 ","  234,504,000 ","  227,170 "
23,서울지역본부,서울특별시,매입다가구(서울광진구),"서울특별시 광진구 동일로78길 19(중곡동,엘림하우스) 엘림하우스",101,201,광진중곡동(엘림하우스),열람불가(계약 전 주택 개방),57.9700,8.8400,66.8100,3,2층,Y,도시형생활주택,"  250,855,000 ","  252,270 ","  286,692,000 ","  280,640 "
24,서울지역본부,서울특별시,매입다가구(서울광진구),"서울특별시 광진구 동일로78길 19(중곡동,엘림하우스) 엘림하우스",101,501,광진중곡동(엘림하우스),열람불가(계약 전 주택 개방),57.4400,8.7600,66.2000,3,5층,Y,도시형생활주택,"  251,448,000 ","  252,250 ","  287,370,000 ","  280,680 "
25,서울지역본부,서울특별시,매입다가구(서울노원구),서울특별시 노원구 덕릉로124길 27-7(상계동) 베스트하우스,,402,노원상계동(베스트하우스A),열람불가(계약 전 주택 개방),37.8900,5.5300,43.4200,2,4층,Y,다세대주택,"  92,294,000 ","  106,810 ","  105,479,000 ","  119,180 "
26,서울지역본부,서울특별시,매입다가구(서울노원구),"서울특별시 노원구 동일로237나길 15(상계동,해밀1동) ",,501,노원상계동,열람불가(계약 전 주택 개방),54.9800,10.0100,64.9900,3,5층,Y,다세대주택,"  167,033,000 ","  187,840 ","  190,895,000 ","  210,210 "
27,서울지역본부,서울특별시,매입다가구(서울노원구),"서울특별시 노원구 동일로237나길 23(상계동,시온6동) ",,202,노원상계동,열람불가(계약 전 주택 개방),55.0500,8.8400,63.8900,2,2층,Y,다세대주택,"  164,207,000 ","  171,310 ","  187,666,000 ","  191,340 "
28,서울지역본부,서울특별시,매입다가구(서울노원구),"서울특별시 노원구 동일로237나길 23(상계동,시온6동) ",,301,노원상계동,열람불가(계약 전 주택 개방),47.4600,7.6200,55.0800,2,3층,Y,다세대주택,"  147,957,000 ","  165,470 ","  169,094,000 ","  185,290 "
29,서울지역본부,서울특별시,매입다가구(서울노원구),"서울특별시 노원구 한글비석로24마길 75(상계동,베스트하우스) ",,302,노원상계동(베스트하우스B),열람불가(계약 전 주택 개방),55.9300,12.7900,68.7200,3,3층,Y,다세대주택,"  168,473,000 ","  190,680 ","  192,541,000 ","  213,250 "
30,서울지역본부,서울특별시,매입다가구(서울노원구),"서울특별시 노원구 한글비석로24마길 75(상계동,베스트하우스) ",,502,노원상계동(베스트하우스B),열람불가(계약 전 주택 개방),47.8900,10.9500,58.8400,3,5층,Y,다세대주택,"  149,343,000 ","  169,300 ","  170,677,000 ","  189,310 "
31,서울지역본부,서울특별시,매입다가구(서울도봉구),"서울특별시 도봉구 도봉로104길 61-13(창동,승윤노블리안시티(102동)) ",,302,도봉창동(승윤노블리안시티),열람불가(계약 전 주택 개방),57.7600,9.5383,67.2983,3,3층,Y,오피스텔,"  136,383,000 ","  160,230 ","  155,866,000 ","  179,310 "
32,서울지역본부,서울특별시,매입다가구(서울도봉구),"서울특별시 도봉구 도봉로104길 61-13(창동,승윤노블리안시티(102동)) ",,401,도봉창동(승윤노블리안시티),열람불가(계약 전 주택 개방),57.7600,9.5383,67.2983,3,4층,Y,오피스텔,"  136,383,000 ","  174,490 ","  155,866,000 ","  195,590 "
33,서울지역본부,서울특별시,매입다가구(서울도봉구),"서울특별시 도봉구 도봉로104길 61-13(창동,승윤노블리안시티(102동)) ",,501,도봉창동(승윤노블리안시티),열람불가(계약 전 주택 개방),57.7600,9.5383,67.2983,3,5층,Y,오피스텔,"  136,383,000 ","  174,790 ","  155,866,000 ","  195,890 "
34,서울지역본부,서울특별시,매입다가구(서울도봉구),서울특별시 도봉구 도봉로117길 51-14(쌍문동) 스마트힐,,301,도봉쌍문동(스마트힐),열람불가(계약 전 주택 개방),59.7400,12.9700,72.7100,3,3층,Y,다세대주택,"  162,095,000 ","  186,810 ","  185,252,000 ","  208,520 "
35,서울지역본부,서울특별시,매입다가구(서울도봉구),"서울특별시 도봉구 도봉로127길 22-5(쌍문동,가람빌리지) ",,404,도봉쌍문동(가람빌리지),열람불가(계약 전 주택 개방),29.0800,4.9500,34.0300,2,4층,Y,다세대주택,"  85,779,000 ","  98,860 ","  98,033,000 ","  110,350 "
36,서울지역본부,서울특별시,매입다가구(서울도봉구),서울특별시 도봉구 도봉산1길 52(도봉동) 위드빌,,301,도봉도봉동(위드빌),열람불가(계약 전 주택 개방),54.6400,8.8800,63.5200,3,3층,Y,다세대주택,"  128,978,000 ","  146,010 ","  147,403,000 ","  163,290 "
37,서울지역본부,서울특별시,매입다가구(서울도봉구),서울특별시 도봉구 도봉산1길 52(도봉동) 위드빌,,302,도봉도봉동(위드빌),열람불가(계약 전 주택 개방),39.2500,6.3800,45.6300,2,3층,Y,다세대주택,"  103,676,000 ","  106,960 ","  118,487,000 ","  119,620 "
